year,province,career_path_name,earnedIncome,prov_tax_amt,fed_tax_amt,tax_amt,current_endevor,afterTaxIncome,afterTaxAndCostsIncome,amtSavedThisYear,expenditureBias,Housing,Food,Transportation,educationCost,totalLivingCosts,contributions,investment_low,investment_avg,investment_high,investment_developTradingBot,yrs_Programming & Software Development,yrs_Version Control (Git),yrs_System Design & Architecture,yrs_Agile & DevOps Practices,yrs_Network Security,yrs_Security Monitoring & SIEM,yrs_Incident Response,yrs_Threat Analysis & Intelligence,yrs_Vulnerability Assessment,yrs_IT Consulting & Client Engagement,yrs_Business Process Analysis,yrs_Project Management,yrs_Enterprise Systems & ERP,yrs_PLC & Control System Programming,yrs_Instrumentation Calibration & Maintenance,yrs_Process Control & SCADA,yrs_Electrical Systems & Wiring,yrs_Industrial Cybersecurity,yrs_OT/IT Network Integration,yrs_Risk Assessment & Compliance (OT)
2036,Alberta,Cybersecurity Focus,131058.12538880332,11881.812538880333,23833.642601088864,35715.4551399692,SOC Level 2 Analyst,95342.67024883413,37059.813186602114,37059.813186602114,0.0,32796.37360038898,14305.316523744154,11181.166938098879,0.0,58282.85706223201,37059.813186602114,306159.7211343637,368300.59125536133,446307.4110605834,823372.1046435435,7,0,0,0,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0
2037,Alberta,Cybersecurity Focus,160064.23734516674,14898.528481420008,31375.23170974335,46273.76019116336,Industrial Cybersecurity Analyst,113790.47715400337,52888.25207297099,52888.25207297099,0.0,34600.17414841037,14763.086652503967,11538.964280118045,0.0,60902.22508103238,52888.25207297099,374355.95926405286,458018.9024538685,566141.7747926419,1123271.9881095777,7,0,0,0,12,12,11,11,11,0,0,0,0,1,0,1,0,1,1,1
2038,Alberta,Cybersecurity Focus,168163.48775483217,15870.43853057986,33481.03681625636,49351.47534683622,Industrial Cybersecurity Analyst,118812.01240799595,55165.1121189571,55165.1121189571,0.0,36503.183726572934,15235.505425384097,11908.211137081822,0.0,63646.90028903885,55165.1121189571,448238.8693462126,558985.9048182124,706228.1531304952,1515418.696661408,7,0,0,0,13,13,11,11,11,0,0,0,0,2,0,2,0,2,2,2
2039,Alberta,Cybersecurity Focus,176672.5602352267,16891.527228227205,35693.39566115894,52584.922889386144,Industrial Cybersecurity Analyst,124087.63734584056,57564.46302184128,57564.46302184128,0.0,38510.858831534446,15723.041598996388,12289.273893468442,0.0,66523.17432399928,57564.46302184128,528215.2758353645,672448.958321875,869726.8391219107,2027608.768681672,7,0,0,0,14,14,11,11,11,0,0,0,0,3,0,3,0,3,3,3
2040,Alberta,Cybersecurity Focus,185612.19178312915,17969.294931806788,38142.865617107454,56112.16054891424,Industrial Cybersecurity Analyst,129500.03123421491,59962.36557872237,59962.36557872237,0.0,40628.95606726884,16226.178930164271,12682.530658059432,0.0,69537.66565549254,59962.36557872237,614588.405205855,799656.2197327849,1060148.2305689196,2695853.764864896,7,0,0,0,15,15,11,11,11,0,0,0,0,4,0,4,0,4,4,4
2041,Alberta,Cybersecurity Focus,195004.1686873555,19190.251929356215,40866.53891933309,60056.79084868931,Industrial Cybersecurity Analyst,134947.3778386662,62250.04089265072,62250.04089265072,0.0,42863.54865096862,16745.41665592953,13088.371639117333,0.0,72697.33694601548,62250.04089265072,707567.8663587986,941871.8825987142,1281420.506046908,3566859.935217016,7,0,0,0,16,16,11,11,11,0,0,0,0,5,0,5,0,5,5,5
2042,Alberta,Cybersecurity Focus,204871.37962293567,20472.989350981636,43728.030090651344,64201.019441632976,Industrial Cybersecurity Analyst,140670.3601813027,64660.84683404246,64660.84683404246,0.0,45221.04382677189,17281.269988919274,13507.199531569087,0.0,76009.51334726025,64660.84683404246,807607.106510781,1100719.9176926282,1538294.4287879867,4701578.762616163,7,0,0,0,17,17,11,11,11,0,0,0,0,6,0,6,0,6,6,6
2043,Alberta,Cybersecurity Focus,215237.8714318562,21820.633286141307,46734.3127152383,68554.9460013796,Industrial Cybersecurity Analyst,146682.9254304766,67201.02364808827,67201.02364808827,0.0,47708.20123724434,17834.270628564693,13939.429916579298,0.0,79481.90178238833,67201.02364808827,915188.4854844084,1277992.9331099794,1836239.616754273,6179253.4150491,7,0,0,0,18,18,11,11,11,0,0,0,0,7,0,7,0,7,7,7
2044,Alberta,Cybersecurity Focus,226128.9077263081,23236.46800442005,49892.713240629346,73129.1812450494,Industrial Cybersecurity Analyst,152999.7264812587,69877.11521337731,69877.11521337731,0.0,50332.15230529279,18404.96728867876,14385.491673909835,0.0,83122.61126788138,69877.11521337731,1030825.0249720062,1475669.3416343548,2181552.674480791,8102906.554777208,7,0,0,0,19,19,11,11,11,0,0,0,0,8,0,8,0,8,8,8
2045,Alberta,Cybersecurity Focus,237571.0304572593,24723.94395944371,53210.9288326052,77934.8727920489,Industrial Cybersecurity Analyst,159636.1576652104,72695.98333373507,72695.98333373507,0.0,53100.42068208389,18993.926241916484,14845.827407474953,0.0,86940.17433147533,72695.98333373507,1155062.2595543417,1695932.2591315254,2581481.5589866447,10606474.504544105,7,0,0,0,20,20,11,11,11,0,0,0,0,9,0,9,0,9,9,9
2046,Alberta,Cybersecurity Focus,249592.12459839662,26314.47744377553,56697.04613353502,83011.52357731055,Industrial Cybersecurity Analyst,166580.60102108607,75637.03143531561,75637.03143531561,0.0,56020.943819598484,19601.73188165781,15320.893884514153,0.0,90943.56958577046,75637.03143531561,1288452.4039673745,1941162.5164799937,3044340.824269957,13864053.887342654,7,0,0,0,21,21,11,11,11,0,0,0,0,10,0,10,0,10,10,10
2047,Alberta,Cybersecurity Focus,262221.4861030755,28082.588054430573,60509.14041401492,88591.7284684455,Industrial Cybersecurity Analyst,173629.75763463002,78487.51211426416,78487.51211426416,0.0,59102.095729676395,20228.98730187086,15811.162488818603,0.0,95142.24552036586,78487.51211426416,1431362.5362800073,2213766.2802422573,3579479.4600247145,18101757.565659717,7,0,0,0,22,22,11,11,11,0,0,0,0,11,0,11,0,11,11,11
2048,Alberta,Cybersecurity Focus,275489.89329989115,29940.165061984764,64887.71478896408,94827.87985094884,Industrial Cybersecurity Analyst,180662.0134489423,81115.86787014217,81115.86787014217,0.0,62352.7109948086,20876.31489553073,16317.1196884608,0.0,99546.14557880013,81115.86787014217,1584046.53096415,2516258.7761366256,4197517.246898564,23613400.703227773,7,0,0,0,23,23,11,11,11,0,0,0,0,12,0,12,0,12,12,12
2049,Alberta,Cybersecurity Focus,289429.6819008656,31891.735466121183,69487.84502728564,101379.58049340683,Industrial Cybersecurity Analyst,188050.10140745874,83884.3668172564,83884.3668172564,0.0,65782.11009952307,21544.356972187717,16839.26751849155,0.0,104165.73459020234,83884.3668172564,1747133.224329614,2851769.0205675447,4911029.200750604,30781305.281013362,7,0,0,0,24,24,11,11,11,0,0,0,0,13,0,13,0,13,13,13
2050,Alberta,Cybersecurity Focus,304074.8238050494,33942.05533270692,74320.7418556663,108262.79718837322,Industrial Cybersecurity Analyst,195812.0266166762,86799.99998729835,86799.99998729835,0.0,69400.12615499683,22233.776395297726,17378.124079083278,0.0,109012.02662937784,86799.99998729835,1921289.8855333934,3223745.9226115975,5734483.580850493,40102496.86530467,7,0,0,0,25,25,11,11,11,0,0,0,0,14,0,14,0,14,14,14
2051,Alberta,Cybersecurity Focus,319461.00988958485,36096.12138454188,79398.183263563,115494.30464810488,Industrial Cybersecurity Analyst,203966.70524147997,89870.0908583971,89870.0908583971,0.0,73217.13309352167,22945.257239947252,17934.224049613942,0.0,114096.61438308287,89870.0908583971,2107224.4706684602,3635990.605731155,6684526.208836463,52223116.015754476,7,0,0,0,26,26,11,11,11,0,0,0,0,15,0,15,0,15,15,15
2052,Alberta,Cybersecurity Focus,335625.73698999785,38359.183178599706,84732.5432066993,123091.726385299,Industrial Cybersecurity Analyst,212534.01060469885,93102.31050020637,93102.31050020637,0.0,77244.07541366534,23679.50547162556,18508.119219201588,0.0,119431.70010449248,93102.31050020637,2305688.00470209,4092691.976804477,7780307.450662139,67983153.13098103,7,0,0,0,27,27,11,11,11,0,0,0,0,16,0,16,0,16,16,16
2053,Alberta,Cybersecurity Focus,352608.39928169176,40736.75589943685,90336.82176295828,131073.57766239514,Industrial Cybersecurity Analyst,221534.82161929662,96504.69337694606,96504.69337694606,0.0,81492.49956141693,24437.249646717584,19100.379034216043,0.0,125030.12824235056,96504.69337694606,2517477.0983141405,4598465.867861872,9043858.261638405,88474603.76365228,7,0,0,0,28,28,11,11,11,0,0,0,0,17,0,17,0,17,17,17
2054,Alberta,Cybersecurity Focus,370450.3842853453,43236.9376428018,96224.67681416396,139461.61445696576,Industrial Cybersecurity Analyst,230988.76982837956,100083.3499923612,100083.3499923612,0.0,85974.58703729487,25219.241635412545,19711.591163310954,0.0,130905.41983601837,100083.3499923612,2743434.3032222087,5158395.80464042,10500520.350876525,115117068.24274033,7,0,0,0,29,29,11,11,11,0,0,0,0,18,0,18,0,18,18,18
2055,Alberta,Cybersecurity Focus,389195.1737301838,46048.65605952757,102410.45733096066,148459.11339048823,Industrial Cybersecurity Analyst,240736.06033969557,103664.25156706685,103664.25156706685,0.0,90703.18932434608,26026.257367745748,20342.362080536906,0.0,137071.80877262872,103664.25156706685,2984270.269950386,5777899.636671529,12179262.65507507,149755852.9671295,7,0,0,0,30,30,11,11,11,0,0,0,0,19,0,19,0,19,19,19
2056,Alberta,Cybersecurity Focus,408888.4495209311,49002.64742813967,108909.23834190727,157911.88577004694,Industrial Cybersecurity Analyst,250976.56375088418,107432.28374307137,107432.28374307137,0.0,95691.8647371851,26859.097603513612,20993.31766711409,0.0,143544.2800078128,107432.28374307137,3240916.067190977,6463121.884081754,14113584.337079402,194790041.14101145,7,0,0,0,31,31,11,11,11,0,0,0,0,20,0,20,0,20,20,20
2057,Alberta,Cybersecurity Focus,429578.2050666902,52106.11076000354,115736.85767200778,167842.96843201132,Industrial Cybersecurity Analyst,261735.2366346789,111396.62677766086,111396.62677766086,0.0,100954.91729773028,27718.588726826045,21665.103832461737,0.0,150338.60985701805,111396.62677766086,3514358.497328187,7220830.699267591,16342018.61441897,253338450.11009255,7,0,0,0,32,32,11,11,11,0,0,0,0,21,0,21,0,21,21,21
2058,Alberta,Cybersecurity Focus,451314.86224306474,55366.60933645972,122909.95454021136,178276.56387667108,Industrial Cybersecurity Analyst,273038.29836639366,115566.88989610324,115566.88989610324,0.0,106507.43774910542,28605.58356608448,22358.387155100514,0.0,157471.40847029042,115566.88989610324,3805643.3120906996,8058480.659090455,18908888.296477918,329455552.03301644,7,0,0,0,33,33,11,11,11,0,0,0,0,22,0,22,0,22,22,22
2059,Alberta,Cybersecurity Focus,474151.3942725638,58792.08914088458,130446.01010994606,189238.09925083065,Industrial Cybersecurity Analyst,284913.29502173315,119953.13041216403,119953.13041216403,0.0,112365.34682530622,29520.962240199184,23073.85554406373,0.0,164960.16460956912,119953.13041216403,4115878.6081073987,8984281.855411664,21865174.671361767,428412170.77333355,7,0,0,0,34,34,11,11,11,0,0,0,0,23,0,23,0,23,23,23
2060,Alberta,Cybersecurity Focus,498143.45482275554,62390.89822341333,138363.39009150933,200754.28831492265,Industrial Cybersecurity Analyst,297389.1665078329,124565.87365377549,124565.87365377549,0.0,118545.44090069806,30465.63303188556,23812.21892147377,0.0,172823.2928540574,124565.87365377549,4446238.412166544,10007275.914606607,25269516.745719805,557060387.8789874,7,0,0,0,35,35,11,11,11,0,0,0,0,24,0,24,0,24,24,24
2061,Alberta,Cybersecurity Focus,523349.5136367869,66171.80704551804,146681.3895001397,212853.19654565773,Industrial Cybersecurity Analyst,310496.31709112914,129416.13372502587,129416.13372502587,0.0,125065.44015023645,31440.5332889059,24574.20992696093,0.0,181080.18336610327,129416.13372502587,4797966.466499898,11137419.639792295,29189360.391302798,724307920.3764087,7,0,0,0,36,36,11,11,11,0,0,0,0,25,0,25,0,25,25,25
2062,Alberta,Cybersecurity Focus,549830.9990268083,70144.02985402125,155420.27967884677,225564.30953286804,Industrial Cybersecurity Analyst,324266.68949394027,134515.43513666626,134515.43513666626,0.0,131944.03935849943,32446.63035415089,25360.584644623683,0.0,189751.254357274,134515.43513666626,5172380.224961559,12385677.038908193,33702279.88513488,941734811.924468,7,0,0,0,37,37,11,11,11,0,0,0,0,26,0,26,0,26,26,26
2063,Alberta,Cybersecurity Focus,577652.4475775649,74317.24713663473,164601.3577005964,238918.6048372311,Industrial Cybersecurity Analyst,338733.84274033376,139875.8353383815,139875.8353383815,0.0,139200.9615232169,33484.92252548372,26172.12335325164,0.0,198858.00740195226,139875.8353383815,5570875.071548019,13764120.578137396,38897497.703243494,1224395131.3371468,7,0,0,0,38,38,11,11,11,0,0,0,0,27,0,27,0,27,27,27
2064,Alberta,Cybersecurity Focus,606881.6614249896,78701.62921374844,174246.99827024655,252948.627483995,Industrial Cybersecurity Analyst,353933.0339409946,145509.94818714587,145509.94818714587,0.0,146857.01440699384,34556.4400462992,27009.631300555695,0.0,208423.08575384872,145509.94818714587,5994928.773312565,15286042.584138284,44877632.30691716,1591859180.686478,7,0,0,0,39,39,11,11,11,0,0,0,0,28,0,28,0,28,28,28
2065,Alberta,Cybersecurity Focus,637589.873493094,83307.8610239641,184380.70825272103,267688.5692766851,Industrial Cybersecurity Analyst,369901.30421640887,151430.96838707617,151430.96838707617,0.0,154934.15019937846,35662.246127780774,27873.939502173478,0.0,218470.3358293327,151430.96838707617,6446106.18036527,16966077.81093919,51760708.1213418,2069568365.8608084,7,0,0,0,40,40,11,11,11,0,0,0,0,29,0,29,0,29,29,29
2066,Alberta,Cybersecurity Focus,669851.9210918446,88147.16816377669,195027.18396030873,283174.3521240854,Industrial Cybersecurity Analyst,386677.56896775914,157652.69693730207,157652.69693730207,0.0,163455.5284603443,36803.438003869756,28765.905566243026,0.0,229024.87203045707,157652.69693730207,6926064.186320836,18820338.28897041,59682467.03648037,2690596528.315988,7,0,0,0,41,41,11,11,11,0,0,0,0,30,0,30,0,30,30,30
2067,Alberta,Cybersecurity Focus,703746.4282990919,93231.34424486378,206212.37133870035,299443.71558356413,Industrial Cybersecurity Analyst,404302.71271552774,164189.56762550812,164189.56762550812,0.0,172445.58252566322,37981.14801999359,29686.414544362804,0.0,240113.14509001962,164189.56762550812,7436556.963262386,20866561.685492963,68799026.65957792,3497939676.3784103,7,0,0,0,42,42,11,11,11,0,0,0,0,31,0,31,0,31,31,31
2068,Alberta,Cybersecurity Focus,739355.997571026,98572.77963565389,217963.52919843857,316536.30883409246,Industrial Cybersecurity Analyst,422819.6887369335,171056.674605943,171056.674605943,0.0,181930.0895645747,39196.54475663339,30636.37980978242,0.0,251763.01413099052,171056.674605943,7979441.4860314485,23124274.528648205,79289937.33312054,4547492635.96654,7,0,0,0,43,43,11,11,11,0,0,0,0,32,0,32,0,32,32,32
2069,Alberta,Cybersecurity Focus,776767.4110481198,104184.49165721796,230309.29564587952,334493.7873030975,Industrial Cybersecurity Analyst,442273.6237450223,178269.8011018549,178269.8011018549,0.0,191936.24449062627,40450.83418884566,31616.74396369546,0.0,264003.8226431674,178269.8011018549,8556683.361434875,25614971.782614883,91361697.73419046,5911918696.557605,7,0,0,0,44,44,11,11,11,0,0,0,0,33,0,33,0,33,33,33
2070,Alberta,Cybersecurity Focus,816071.8420471548,110080.15630707322,243279.75787556107,353359.9141826343,Industrial Cybersecurity Analyst,462711.92786452046,185845.44927348732,185845.44927348732,0.0,202492.7379376107,41745.26088288872,32628.47977053371,0.0,276866.47859103314,185845.44927348732,9170362.978780108,28362314.41014986,105251797.84359251,7685680150.974159,7,0,0,0,45,45,11,11,11,0,0,0,0,34,0,34,0,34,34,34
2071,Alberta,Cybersecurity Focus,857365.0772547406,116274.1415882111,256906.52549406444,373180.66708227556,Industrial Cybersecurity Analyst,484184.4101724651,193800.87129395385,193800.87129395385,0.0,213629.8385241793,43081.10923114116,33672.59112319079,0.0,290383.53887851123,193800.87129395385,9822681.999013068,31392346.722458806,121233368.39142533,9991577997.137701,7,0,0,0,46,46,11,11,11,0,0,0,0,35,0,35,0,35,35,35
2072,Alberta,Cybersecurity Focus,900747.7501638306,122781.54252457459,271222.8075540641,394004.35007863864,Industrial Cybersecurity Analyst,506743.40008519194,202154.10167651222,202154.10167651222,0.0,225379.47964300914,44459.70472653768,34750.114039132895,0.0,304589.2984086797,202154.10167651222,10515970.200640235,34733735.4963812,139620527.75181565,12989253550.38069,7,0,0,0,47,47,11,11,11,0,0,0,0,36,0,36,0,36,36,36
2073,Alberta,Cybersecurity Focus,946325.5863221204,129618.21794831807,286263.49348629976,415881.7114346178,Industrial Cybersecurity Analyst,530443.8748875025,210923.9908979559,210923.9908979559,0.0,237775.35102337462,45882.41527778688,35862.117688385144,0.0,319519.8839895466,210923.9908979559,11252692.701570204,38418033.03691728,160774530.90548593,16886240539.485796,7,0,0,0,48,48,11,11,11,0,0,0,0,37,0,37,0,37,37,37
2074,Alberta,Cybersecurity Focus,994209.6609900196,136800.82914850293,302065.23812670645,438866.06727520935,Industrial Cybersecurity Analyst,555343.5937148102,220130.24036406045,220130.24036406045,0.0,250852.9953296602,47350.65256667607,37009.70545441348,0.0,335213.35335074976,220130.24036406045,12035457.577012774,42479966.58097307,185110840.78167287,21952332831.5719,7,0,0,0,49,49,11,11,11,0,0,0,0,38,0,38,0,38,38,38
2075,Alberta,Cybersecurity Focus,1044516.6698361146,137669.38,303976.05,441645.43,Industrial Cybersecurity Analyst,602871.2398361147,251161.44028555875,251161.44028555875,0.0,264649.9100727915,48865.8734488097,38194.01602895471,0.0,351709.79955055594,251161.44028555875,12888391.89614897,46979124.679355934,213128628.33920935,28538283842.483753,7,0,0,0,50,50,11,11,11,0,0,0,0,39,0,39,0,39,39,39
2026,Alberta,I&C to Cybersecurity,17500.0,1400.0,2450.0000000000005,3850.0000000000005,I&C Engineering Diploma,13650.0,-31150.0,0.0,0.0,19200.0,10440.0,8160.0,7000.0,44800.0,-31150.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
2027,Alberta,I&C to Cybersecurity,17500.0,1400.0,2450.0000000000005,3850.0000000000005,I&C Engineering Diploma,13650.0,-32801.2,0.0,0.0,20256.0,10774.08,8421.119999999999,7000.0,46451.2,-32801.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,2
2028,Alberta,I&C to Cybersecurity,17500.0,1400.0,2450.0000000000005,3850.0000000000005,I&C Engineering Diploma,13650.0,-34529.526399999995,0.0,0.0,21370.079999999998,11118.850559999999,8690.59584,7000.0,48179.526399999995,-34529.526399999995,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,3
2029,Alberta,I&C to Cybersecurity,62073.16313702399,4983.316313702399,8921.00344308992,13904.31975679232,Instrumentation & Control Tech (Apprentice),48168.84338023167,5180.060295431671,5180.060295431671,0.0,22545.4344,11474.65377792,8968.694906880002,0.0,42988.7830848,5180.060295431671,5180.060295431671,5180.060295431671,5180.060295431671,5180.060295431671,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,3,0,3
2030,Alberta,I&C to Cybersecurity,65847.21145575505,5360.721145575505,9694.683348429786,15055.404494005292,Instrumentation & Control Tech (Apprentice),50791.80696174976,5908.8378270361645,5908.8378270361645,0.0,23785.433291999994,11841.842698813442,9255.69314390016,0.0,44882.969134713596,5908.8378270361645,11347.90113723942,11606.904152011004,11865.907166782585,12642.916211097338,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,3,0,3
2031,Alberta,I&C to Cybersecurity,69850.72191226495,5761.072191226495,10515.402992014317,16276.475183240811,Instrumentation & Control Tech (Apprentice),53574.24672902415,6707.957616283711,6707.957616283711,0.0,25093.632123059997,12220.781665175473,9551.875324504967,0.0,46866.28911274044,6707.957616283711,18623.253810385104,19475.552183495816,20353.75085808368,23143.74869071025,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,3,0,3
2032,Alberta,I&C to Cybersecurity,74097.64580453066,6185.764580453067,11386.022389928787,17571.786970381854,Instrumentation & Control Tech (Apprentice),56525.85883414881,7582.694930970305,7582.694930970305,0.0,26473.78188982829,12611.846678461088,9857.535334889126,0.0,48943.1639031785,7582.694930970305,27137.111431874666,29005.802332815703,30989.508417766534,37669.56822889363,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,3,0,3
2033,Alberta,I&C to Cybersecurity,78602.78266944613,6636.278266944612,12309.575447236457,18945.85371418107,Instrumentation & Control Tech (Apprentice),59656.92895526506,8538.686823718795,8538.686823718795,0.0,27929.839893768847,13015.42577217184,10172.976465605578,0.0,51118.24213154626,8538.686823718795,37032.6538271872,40445.06938981607,44176.62150415031,57509.12552128052,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,3,0,3
2034,Alberta,I&C to Cybersecurity,131334.89299312094,11909.489299312096,23905.602178211444,35815.09147752354,Instrumentation & Control Tech (Red Seal),95519.8015155974,42123.38931828497,42123.38931828497,0.0,29465.981087926128,13431.919396881343,10498.511712504956,0.0,53396.41219731243,42123.38931828497,81007.67583683153,86612.96564708266,92926.50404805783,116885.25249594965,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,3,0,3
2035,Alberta,I&C to Cybersecurity,137310.63062430793,12507.063062430792,25459.293962320062,37966.357024750854,Instrumentation & Control Tech (Red Seal),99344.27359955708,43561.45864690836,43561.45864690836,0.0,31086.610047762064,13861.740817581544,10834.464087305114,0.0,55782.814952648725,43561.45864690836,128619.51827558147,138835.7208586993,150426.93830217485,195512.2868916429,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,3,0,3
2036,Alberta,I&C to Cybersecurity,143558.2643177139,13131.826431771391,27083.67872260562,40215.50515437701,Instrumentation & Control Tech (Red Seal),103342.7591633369,45059.90210110489,45059.90210110489,0.0,32796.37360038898,14305.316523744154,11181.166938098879,0.0,58282.85706223201,45059.90210110489,180110.39629046543,197779.1950456741,218050.88114860596,299225.8750602407,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,3,0,3
2037,Alberta,I&C to Cybersecurity,150090.1653441699,13785.016534416989,28781.972989484173,42566.98952390116,Instrumentation & Control Tech (Red Seal),107523.17582026872,46620.95073923634,46620.95073923634,0.0,34600.17414841037,14763.086652503967,11538.964280118045,0.0,60902.22508103238,46620.95073923634,235736.86684422506,264178.0652894779,297379.46406013315,435614.5883175492,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,3,0,3
2038,Alberta,I&C to Cybersecurity,156919.2678673296,14521.132144079551,30557.53964550569,45078.67178958524,Instrumentation & Control Tech (Red Seal),111840.59607774435,48193.6957887055,48193.6957887055,0.0,36503.183726572934,15235.505425384097,11908.211137081822,0.0,63646.90028903885,48193.6957887055,295717.40597514185,338789.5676071312,390180.0794578586,614492.6606015195,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,3,0,3
